Number,Author,Title,Pages,Class Number,Class Name,Quarter,Year,Descriptors,Location
164,Selin, Christine,Individual project:feeding preferences for different parts of Nereocystis letkeana sporophyte by two major herbivores, Strongylocentrotus purpuratus and Haliotis kamtschatkana,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Strongylocentrotus purpuratus|Haliotis kamtschatkana,
165,Tremain, Margaret,Literature seasrch on Derbesia marina and Halicystis ovalis,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Derbesia marina|Halicystis ovalis,
166,Tremain, Margaret,Species diversity in three species of algal holdfast,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Nereocystis luetkeana|Hedophyllum sessile|Egregia menziesii,
167,Wilson, Cynthia,Growth rates of Alaria marginata as measured by the holepunch method and by calcofluor white staining,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Alaria marginata,
168,Wilson, Matthew T.,Some effects of algal growth on Notoacmea scutum,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Notoacmea scutum,
169,Wiseman, Clay,Comparative growth study concerning the larvae of the Pacific oyster, Crassostrea gicas, fed diets composed of various mixtures of unicellular algae,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Crassostrea gigas,
170,Erickson, Gerald Michael|Mattern, Kathy Leigh,An observational study of an intertidal community response to the opening of primary space (or: how to be a junior scientist without being scientific),,Botany 445|Zoology 430,Marine Biology,Spring,1974,,
171,Mahr, Feliz,A study of tidepool variation near Friday Harbor Laboratories and observations of Tigriopus triangulus,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1973,Tigriopus triangulus,Friday Harbor Laboratories
172,McElwain, Ginny|Nowadnick, Jim,An intertidal floral and faunal survey of an east and north shore of Turn Island,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1973,,Turn Island
173,Wisessang, Suchana|Mallon, Barbara,Zonation project of beach below Lab 6,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1973,,Friday Harbor Laboratories
174,Class Project,Cattle Point Project,,Botany 545,,Summer,1975,,Cattle Point, San Juan Island
175,Class Project,Cattle Point Project,,Botany 445|Zoology 430,,Spring,1975,,Cattle Point, San Juan Island
176,Blau, Steven F.,The effect of the echinoid Strongylocentrotus franciscanus on algal communities at two different subtidal heights,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1974,Strongylocentrotus franciscanus,
177,Hagerman, Chris,Observations of float recolonization with light as a limiting factor,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1974,,
178,Haggard, Gail,Ampithoe simulans, his color and his algal tube,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1974,Ampithoe simulans,
179,Hurley, Laura Kay,Investigation into the effects of crude oil pollution on tidepool flora and fauna,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1974,,
180,Kelsey, William|Szymkowicz, Mark"Observations on the dock communities of Jensens Marina",Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1974,"Jensens Marina, San Juan Island"
181,Robinson, Bradley A.,The adaptation of Pugettia gracilis and Oregonia gracilis to different colored environments with notes on the mechanisms of algal attachment,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1974,Pugettia gracilis|Oregonia gracilis,
182,Sparks, Louise H,Habitat restrictions of Rhodochorton purpureum (Lightf.) Rosenvinge,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1974,Rhodochorton purpureum,
183,Wood, Wende J.,Some observations on zonation and diet in Littorina scutulata and Littorina sitkana,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1974,Littorina scutulata|Littorina sitkana,
184,Anderson, Gregory|Duke, Susan|Emlet, Richard,Baseline study of Goose Island Area A,,Botany 445|Zoology 430,,Spring,1977,,Goose Island, San Juan County
185,McDowell, Gloria|Barker, Wally|Trautman, Jamie,The vertical distribution of flora and fauna in the rocky intertidal of Goose Island, San Juan County, Washington Spring 1978,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1978,,Goose Island, San Juan County
186,Basil, Ileana|Fischer, John|Hulsman, Steve,A study of intertidal distribution, zonation and associations on Goose Island, Washington,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1978,,Goose Island, San Juan County
187,Cheyette, David|Elguezabal, Xabier|Goebel, Mike,Goose Island Transect Group C,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1978,,Goose Island, San Juan County
188,Howell, Annie,Notes of the Friday Harbor pipes,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,,Friday Harbor
189,Sand, Jennifer,Succession in diatoms on plexiglass, styrofoam and wood,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,,
190,Sand, Jennifer,Studies in learning with the nudibranch Tritonia,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,Tritonia,
191,Shearn, Wendy,In vitro culture of zooxanthellae and zoochlorellae,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall, 1975,,
192,Sibbett, William Ryan V.,A microcommunity analysis of Argyle Lagoon: past and present,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,,Argyle Lagoon, San Juan Island
193,Steed, John|McGee, Becky,The effects of salinity, nutrients and water exchange on tidepools in the high intertidal,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,,
194,Vedder, Karen,Toxicity of crude oil and detergents to three marine invertebrates and Coscinodiscus,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1975,Coscinodiscus,
195,Bazemore, James,Observations of the environment of Abarenicola pacifica Healy and Wells with a description of the microflora within it incurrent and excurrent siphons,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,Abarenicola pacifica,
196,Christensen, Carl,Notes on the physiology of two San Juan freshwater sponges,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,,
197,Conte, Kenan R,The ecology of algal growth on limpet shell,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,,
198,Craig, Kevin,Possible functions of setae in ChaetocerosI. Flotation; II. Protection from Paracalanus,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,Chaetoceros|Paracalanus,
199,Gazarek, Suzy,Effects of algae on rotifer reproductive rate,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,,
200,Gill, Ron,Selective feeding in the marine harpacticoid copepod Tigriopus californicus Baker,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,Tigriopus californicus,
201,Kemp, Paul F.,The importance of tidal exposure to the anemone Anthopleura elegantissima,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,Anthopleura elegantissima,
202,McManus, Scott,Symbiotic algae affecting the response to light intensities in A. elegantissima,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,Anthopleura elegantissima,
203,Mennella, Scott,Behavior and toxic effects of gasoline on the limpet Acmaea scutum and local diatom communities,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,Acmaea scutum,
204,Sundberg, Kim,Feeding behavioral studies of Oikopleura dioica and O. labradoriensis,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,Oikopleura dioica|Oikopleura labradoriensis,
205,Van Camp, Joy,The world around an egg: Haminoea virescens and Nitzschia closterium,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1974,Haminoea virescens|Nitzschia closterium,
206,Brose, Nanci|Cline, Steve,Culture and observation of algal species: Ectocarpus parvus, Bangia fuscopurpuresence, Prasiola spp., Chlorochytrium,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1976,Ectocarpus parvus|Bangia fuscopurpuresence|Prasiola,
207,Erickson, Sandy,An evaluation of the successionary status of a marine intertidal community 7 months after the opening of primary space,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1976,,
208,Hueckel, Greg,Echinoderm variability in two areas of different geological structure,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1976,,
209,Shinn, George,Ostracoda of Argyle Lagoon and North Bay, San Juan Island, Washington,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1976,,Argyle Lagoon, San Juan Island|North Bay, San Juan Island
210,Smith, Nancy E.,Common crustose, noncalcified Rhodophyta of the San Juan Island vicinity,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1976,,
211,Vogt, Richard,Characterization of the environment of Nebalia pugettensis in North Bay,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1976,Nebalia pugettensis,North Bay, San Juan Island
212,Walker, Liz|Himelick, Dave,Habitat comparison study of Hemigrapsus oregonensis and Hemigrapsus nudis,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Spring,1976,Hemigrapsus oregonensis|Hemigrapsus nudus,
213,Coomes, Carol|Matheson, Linda|Tyler, Melanie,Marine faunal survey between Jones and Yellow Islands,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1976,,Jones Island|Yellow Island
214,Cox, Jeffrey,Partial survey of bryozoans in the San Juan Islands, Washington,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1976,,San Juan Islands
215,Johnson, Nellie,Pycnogonidea and Caridea of Jones and Yellow Island and Salmon Banks,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1976,,Jones Island|Yellow Island|Salmon Bank, San Juan Island
216,Kaiser, Rick,A comparative study of marine invertebrates inhabiting vertical rock cliffs at depths of forty to fifty feet below sea level,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1976,,
217,Munns, Wayne R,A partial survey of shelled prosobranchs and opisthobranchs of the San Juan Islands,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1976,,San Juan Islands
218,Munns, Wayne R.|Berg, Brian C,Examination of fine detail in the cell walls of desmids (Zygnematales, Chlorophycophyta) with the scanning electron microscope,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1976,Zygnematales|Chlorophycophyta,
219,Wolfe, Jim,Variety in Coscinodiscus species found in the fall plankton at Friday Harbor, Washington,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1976,Coscinodiscus,Friday Harbor
220,Blum, Joey,An investigation of dinoflagellate feeding and photosynthetic behavior,,Botany 445,Marine Algology,Fall,1977,,
221,Hostetler, Barbara,Changes in the Fall population of diatoms and dinoflagellates at the Friday Harbor Laboratory,,Botany 445,Marine Algology,Fall,1977,,Friday Harbor Laboratories
222,Matteucci, Neil,Observations on flagellar coordination within colonies of Synura,,Botany 445,Marine Algology,Fall,1977,Synura,
223,McCormick, Macushla,The isolation of nanoplankton flagellates,,Botany 445,Marine Algology,Fall,1977,,
224,Palsson, Wayne A.,Orientation and patterns of benthic diatom colonization,,Botany 445,Marine Algology,Fall,1977,,
225,Pine, Peter,In vitro chlorophyll measurements of the diel migrations of diatom populations on hard substratum,,Botany 445,Marine Algology,Fall,1977,,
226,Renfrew, Jill,Vertical migration in diatoms?,,Botany 445,Marine Algology,Fall,1977,,
227,Schonberg, Kristian K,The presence of tannins in certain Phacophycophyta species and their purpose,,Botany 445,Marine Algology,Fall,1977,,
228,Selleck, Scott,Benthic diatom communities associated with highly varied intertidal environments,,Botany 445,Marine Algology,Fall,1977,,
229,Blum, Joey,Are larvae of the sand dollar Dendraster excentricus food limited in their rate of development?,,Zoology 430,Marine Zoology,Fall,1977,Dendraster excentricus,
230,Hostetler, Barbara,Differences in caecated and acaecated dorid nudibranchs related to their digestive systems and feeding behaviors,,Zoology 430,Marine Zoology,Fall,1977,,
231,Matteucci, Neil,Observations on the behavior of Anthopleura elegantissima during exposure to light of varying wavelengths and intensities,,Zoology 430,Marine Zoology,Fall,1977,Anthopleura elegantissima,
232,McCormick, Macushla,The feeding biology of Searlesia dira and an escape response of Notoacmea scutum to Searlesia,,Zoology 430,Marine Zoology,Fall,1977,Searlesia dira|Notoacmeascutum,
233,Palsson, Wayne A.,Pacific Tomcod and Walleye Pollock: prey observations,,Zoology 430,Marine Zoology,Fall,1977,,
234,Pine, Peter,Water transport in the ascidian Pyura haustor (Stimpson),,Zoology 430,Marine Zoology,Fall,1977,Pyura haustor,
235,Renfrew, Jill,Escape responses of certain asteroids to Solaster dawsoni,,Zoology 430,Marine Zoology,Fall,1977,Solaster dawsoni,
236,Schonberg, Kristian K,Survival of clams left behind by sports diggers in the Pacific Northwest,,Zoology 430,Marine Zoology,Fall,1977,,
237,Selleck, Scott,Evaluation of the transverse flagellar motion of Ceratium pentagonium, Amphidinium klebsii and Prorocentrum micans as seen with high speed cinematography,,Zoology 430,Marine Zoology,Fall,1977,Ceratium pentagonum|Amphidinium klebsii|Prorocentrum micans,
238,Ayres, Daniel L.,Notes on a cirratulid poychaete, a source of intertidal bioluminescence,,Zoology 445,Marine Zoology,Fall,1979,Caulleriella alata,
239,Denning, J. David,Notes on some species of marine bryozoa from the San Juan Island region, Washington,,Zoology 445,Marine Zoology,Fall,1979,Bryozoa,San Juan Island
240,Domain, Carrie Louise,The diets of two salt marsh snails, Phytia myosotis, (Pulmontata) and Assiminea californica (Prosobranchia: Mesogastropoda),,Zoology 445,Marine Zoology,Fall,1979,Phytia myosotis|Assiminea californica,
241,Dumbauld, Brett R.,The common Gammaridean Amphipoda of the rocky intertidal in a protectected cove on San Juan Island, Washington,,Zoology 445,Marine Zoology,Fall,1979,Ampithoe|Hyale|Gammaridea,San Juan Island
242,Falmagne, Catherine Marie,Identification guide to limpets of San Juan Island based on shell appearance and radula,,Zoology 445,Marine Zoology,Fall,1979,Collisella|Notoacmea,San Juan Island
243,Hausler, Mary,Studies of defense mechanisms in two Eolid Nudibranchs, Aeolidia papillosa and Hermissenda crassicornis and an Arminacean Nudibranch, Antiopella fusca,,Zoology 445,Marine Zoology,Fall,1979,Aeolidia papillosa|Hermissenda crassicornis|Antiopella fusca,
244,Breeze, Matthew|Auger, Christopher,Ther relative toxicity of tributylin- and copper-based antifouling paints on the fertilization and early development of Dendraster excentricus, a non-target organism,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1993,Dendraster excentricus,
245,Arthur, Christopher|Nixon, Jennifer,Chemical and tactile response of the sea urchin Strongylocentrotus purpuratus to Dermasterias imbricata,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring, 1993,Strongylocentrotus purpuratus|Dermasterias imbricata|Asterina,
246,Nixon, Jennifer|Arthur, Christopher,Response of the purple sea urchin Strongylocentrotus purpuratus to the chemical and tactile cues of Dermasterias imbicata,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1993,Strongylocentrotus purpuratus|Dermasterias imbricata,
